# Variant 3: BERT ONLY (reference_length = 6)
segment,start_time,timestamp,model,title,avg_score,bert_score,cosine_score,penalty
1,0,00:00,mistral-7b-v0.3,Eight Key Patterns for Coding Interviews,0.6260544061660767,0.6260544061660767,0.0,1.0
1,0,00:00,mistral-7b-v0.3,Eight Key Patterns for Coding Interviews,0.6260544061660767,0.6260544061660767,0.0,1.0
1,0,00:00,mistral-7b-v0.3,Eight Key Patterns for Coding Interviews,0.6260544061660767,0.6260544061660767,0.0,1.0
1,0,00:00,mistral-7b-v0.3,Eight Key Patterns for Coding Interviews,0.6260544061660767,0.6260544061660767,0.0,1.0
1,0,00:00,tinyllama,Eight Most Important Patterns for Coding Interviews,0.5664582066413748,0.669191300868988,0.0,0.846481724890614
1,0,00:00,tinyllama,Eight Most Important Patterns for Coding Interviews,0.5664582066413748,0.669191300868988,0.0,0.846481724890614
1,0,00:00,tinyllama,Eight Most Important Patterns for Coding Interviews,0.5664582066413748,0.669191300868988,0.0,0.846481724890614
1,0,00:00,tinyllama,Eight Most Important Patterns for Coding Interviews,0.5664582066413748,0.669191300868988,0.0,0.846481724890614
1,0,00:00,mistral-7b-v0.3,Eight Key Coding Interview Patterns,0.5530701875686646,0.5530701875686646,0.0,1.0
1,0,00:00,mistral-7b-v0.3,Eight Key Coding Interview Patterns,0.5530701875686646,0.5530701875686646,0.0,1.0
1,0,00:00,llama3.1-8b,Coding Interview Secrets Backed by Data,0.545929491519928,0.545929491519928,0.0,1.0
1,0,00:00,mistral-7b-v0.3,Eight Essential Coding Interview Patterns,0.5428324341773987,0.5428324341773987,0.0,1.0
1,0,00:00,mistral-7b-v0.3,Eight Essential Coding Interview Patterns,0.5428324341773987,0.5428324341773987,0.0,1.0
1,0,00:00,mistral-7b-v0.3,Eight Essential Coding Interview Patterns,0.5428324341773987,0.5428324341773987,0.0,1.0
1,0,00:00,llama3.1-8b,Cracking Coding Interviews with Data-Driven Patterns,0.5258338451385498,0.5258338451385498,0.0,1.0
