# Variant 3: BERT ONLY (reference_length = 6)
segment,start_time,timestamp,model,title,avg_score,bert_score,cosine_score,penalty
1,0,00:00,gemma2-9b,The Ocean's Biggest Con: Seafood Fraud,0.3750406801700592,0.3750406801700592,0.0,1.0
1,0,00:00,gemma2-9b,The Hidden World of Seafood Fraud,0.3664383888244629,0.3664383888244629,0.0,1.0
1,0,00:00,gemma2-9b,The Hidden World of Seafood Fraud,0.3664383888244629,0.3664383888244629,0.0,1.0
1,0,00:00,gemma2-9b,The Hidden World of Seafood Fraud,0.3664383888244629,0.3664383888244629,0.0,1.0
1,0,00:00,mistral-7b-v0.3,The Rampant Deception of Counterfeit Seafood,0.35838860273361206,0.35838860273361206,0.0,1.0
1,0,00:00,mistral-7b-v0.3,The Rampant Deception of Counterfeit Seafood,0.35838860273361206,0.35838860273361206,0.0,1.0
1,0,00:00,tinyllama,Counterfeit Seafood: A Global Problem,0.35260605812072754,0.35260605812072754,0.0,1.0
1,0,00:00,llama3.1-8b,The Great Fish Forgery Epidemic Uncovered,0.3470160663127899,0.3470160663127899,0.0,1.0
1,0,00:00,llama3.1-8b,The Great Fish Forgery Epidemic Uncovered,0.3470160663127899,0.3470160663127899,0.0,1.0
1,0,00:00,llama3.1-8b,The Great Fish Forgery Epidemic Uncovered,0.3470160663127899,0.3470160663127899,0.0,1.0
1,0,00:00,llama3.1-8b,The Great Fish Forgery Epidemic Uncovered,0.3470160663127899,0.3470160663127899,0.0,1.0
1,0,00:00,qwen2-7b,The Shadow World of Counterfeit Seafood,0.34470611810684204,0.34470611810684204,0.0,1.0
1,0,00:00,qwen2-7b,The Shadow World of Counterfeit Seafood,0.34470611810684204,0.34470611810684204,0.0,1.0
1,0,00:00,qwen2-7b,The Shadow World of Counterfeit Seafood,0.34470611810684204,0.34470611810684204,0.0,1.0
1,0,00:00,gemma2-9b,The Ocean's Biggest Scam,0.3378925323486328,0.3378925323486328,0.0,1.0
1,0,00:00,gemma2-9b,The Ocean's Biggest Scam,0.3378925323486328,0.3378925323486328,0.0,1.0
1,0,00:00,gemma2-9b,The Ocean's Biggest Scam,0.3378925323486328,0.3378925323486328,0.0,1.0
1,0,00:00,gemma2-9b,The Ocean's Biggest Scam,0.3378925323486328,0.3378925323486328,0.0,1.0
1,0,00:00,tinyllama,What is Seafoods Fraud?,0.33738651871681213,0.33738651871681213,0.0,1.0
1,0,00:00,mistral-7b-v0.3,Counterfeit Crustaceans: The Global Seafood Fraud Epidemic,0.3372851480796178,0.39845532178878784,0.0,0.846481724890614
1,0,00:00,tinyllama,The Counterfeit Seafood Epidemic,0.33513230085372925,0.33513230085372925,0.0,1.0
1,0,00:00,llama3.1-8b,The Great Fish Forgery Epidemic,0.3332216441631317,0.3332216441631317,0.0,1.0
1,0,00:00,llama3.1-8b,The Great Fish Forgery Epidemic,0.3332216441631317,0.3332216441631317,0.0,1.0
1,0,00:00,tinyllama,How Counterfeit Seafood Is Easily Sold in Japan,0.32954045272327603,0.4599107503890991,0.0,0.7165313105737893
1,0,00:00,llama3.1-8b,The Great Fish Forgery Frenzy,0.3289070129394531,0.3289070129394531,0.0,1.0
